comparison,metric,mean_delta,ci_low,ci_high,n_pairs,n_primary,n_baseline,note
p1_prompted_local-unstructured_selective_edit,dependency_complete_success,0.31999999999999995,0.2566666666666667,0.38000000000000006,300,300,300,
p1_prompted_local-attribute_no_graph,dependency_complete_success,0.57,0.51,0.63,300,300,300,
p1_prompted_local-descendant_all,dependency_complete_success,-0.18000000000000005,-0.22666666666666668,-0.14,300,300,300,
p1_prompted_local-unstructured_selective_edit,collateral_edit_rate,-0.040000000000000036,-0.061999999999999944,-0.019111111111111218,300,300,300,
p1_prompted_local-attribute_no_graph,collateral_edit_rate,0.1826666666666668,0.1554444444444445,0.21011111111111128,300,300,300,
p1_prompted_local-descendant_all,collateral_edit_rate,-0.09066666666666612,-0.13199999999999917,-0.04911111111111052,300,300,300,
p1_prompted_local-unstructured_selective_edit,residual_stale_rate,-0.1197222222222223,-0.1511111111111112,-0.08722222222222231,300,300,300,
p1_prompted_local-attribute_no_graph,residual_stale_rate,-0.26472222222222197,-0.2952777777777775,-0.23083333333333328,300,300,300,
p1_prompted_local-descendant_all,residual_stale_rate,0.07361111111111111,0.05416666666666667,0.09583333333333333,300,300,300,
p1_prompted_local-unstructured_selective_edit,patch_precision,0.05511111111111178,0.0260000000000008,0.0827222222222227,300,300,300,
p1_prompted_local-attribute_no_graph,patch_precision,-0.16483333333333328,-0.19499999999999995,-0.13661111111111113,300,300,300,
p1_prompted_local-descendant_all,patch_precision,0.09016666666666762,0.05644444444444563,0.12394444444444541,300,300,300,
p1_prompted_local-unstructured_selective_edit,patch_recall,0.11972222222222262,0.08722222222222265,0.15111111111111153,300,300,300,
p1_prompted_local-attribute_no_graph,patch_recall,0.26472222222222275,0.2308333333333339,0.2952777777777781,300,300,300,
p1_prompted_local-descendant_all,patch_recall,-0.07361111111111107,-0.09583333333333333,-0.054166666666666474,300,300,300,
